Sample,Unique Aliquot ID,Aliquot Type,Number of Thaws,Freezer Section,Freezer Alias,Freezer Name,Position 1,Position 2,Position 3,Position 4,Pull Box,Pull Pos.,sample_type,type
CIT_616_V1,119459,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,1,4,33,Urine,Urine Sup
CIT_618_V1,119755,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,19,4,36,Urine,Urine Sup
CIT_619_V1,133352,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,25,4,37,Urine,Urine Sup
CIT_627_V1,146881,1.5 ml urine,0,CITRC 2,CITRC sm urine 3035,11 Johnny KRI#11,1,3,1,67,4,44,Urine,Urine Sup
CIT_635_V1,155974,1.5 ml urine,0,CITRC 2,CITRC sm urine 3036,11 Johnny KRI#11,1,3,2,43,4,53,Urine,Urine Sup
CIT_639_V1,157110,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,1,4,59,Urine,Urine Sup
CIT_641_V1,158790,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,7,4,60,Urine,Urine Sup
CIT_642_V1,163856,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,25,4,63,Urine,Urine Sup
CIT_648_V1,169755,1.5 ml urine,0,CITRC 2,CITRC sm urine 3037,11 Johnny KRI#11,1,3,3,61,4,69,Urine,Urine Sup
CIT_651_V1,177769,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,7,4,73,Urine,Urine Sup
CIT_654_V1,199130,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,31,4,77,Urine,Urine Sup
CIT_660_V1,213440,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,55,4,81,Urine,Urine Sup
CIT_664_V1,225836,1.5 ml urine,0,CITRC 2,CITRC sm urine 3038,11 Johnny KRI#11,1,3,4,73,5,3,Urine,Urine Sup
CIT_665_V1,228982,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,4,5,5,Urine,Urine Sup
CIT_666_V1,237813,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,16,5,7,Urine,Urine Sup
CIT_667_V1,239349,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,27,5,8,Urine,Urine Sup
CIT_669_V1,264874,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,40,5,10,Urine,Urine Sup
CIT_670_V1,265626,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,46,5,11,Urine,Urine Sup
CIT_672_V1,267257,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,70,5,15,Urine,Urine Sup
CIT_673_V1,269992,1.5 ml urine,0,CITRC 2,CITRC sm urine 3039,11 Johnny KRI#11,1,3,5,81,5,16,Urine,Urine Sup
CIT_676_V1,296755,1.5 ml urine,0,CITRC 2,CITRC sm urine 3040,11 Johnny KRI#11,1,3,6,25,5,21,Urine,Urine Sup
CIT_677_V1,297159,1.5 ml urine,0,CITRC 2,CITRC sm urine 3040,11 Johnny KRI#11,1,3,6,37,5,23,Urine,Urine Sup
CIT_682_V1,304571,1.5 ml urine,0,CITRC 2,CITRC sm urine 3040,11 Johnny KRI#11,1,3,6,61,5,27,Urine,Urine Sup
CIT_688_V1,311536,1.5 ml urine,0,CITRC 2,CITRC sm urine 3041,11 Johnny KRI#11,1,3,7,36,5,32,Urine,Urine Sup
CIT_695_V1,312396,1.5 ml urine,0,CITRC 2,CITRC sm urine 3041,11 Johnny KRI#11,1,3,7,61,5,37,Urine,Urine Sup
CIT_700_V1,315486,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,13,5,42,Urine,Urine Sup
CIT_702_V1,317148,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,25,5,44,Urine,Urine Sup
CIT_703_V1,317541,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,31,5,45,Urine,Urine Sup
CIT_706_V1,320625,1.5 ml urine,0,CITRC 2,CITRC sm urine 3042,11 Johnny KRI#11,1,3,8,73,5,50,Urine,Urine Sup
CIT_709_V1,323030,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,18,5,53,Urine,Urine Sup
CIT_711_V1,325813,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,25,5,55,Urine,Urine Sup
CIT_715_V1,331376,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,49,5,59,Urine,Urine Sup
CIT_714_V1,331602,1.5 ml urine,0,CITRC 2,CITRC sm urine 3043,11 Johnny KRI#11,1,3,9,55,5,60,Urine,Urine Sup
CIT_720_V1,334444,1.5 ml urine,0,CITRC 2,CITRC sm urine 3044,11 Johnny KRI#11,1,3,10,31,5,69,Urine,Urine Sup
CIT_722_V1,336868,1.5 ml urine,0,CITRC 2,CITRC sm urine 3044,11 Johnny KRI#11,1,3,10,55,5,73,Urine,Urine Sup
CIT_726_V1,339390,1.5 ml urine,0,CITRC 2,CITRC sm urine 3044,11 Johnny KRI#11,1,3,10,73,5,76,Urine,Urine Sup
CIT_727_V1,339616,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,1,5,77,Urine,Urine Sup
CIT_728_V1,341113,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,7,5,78,Urine,Urine Sup
CIT_729_V1,344621,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,19,5,80,Urine,Urine Sup
CIT_730_V1,351063,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,37,6,2,Urine,Urine Sup
CIT_731_V1,351269,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,43,6,3,Urine,Urine Sup
CIT_734_V1,357596,1.5 ml urine,0,CITRC 2,CITRC sm urine 3045,11 Johnny KRI#11,1,3,11,73,6,8,Urine,Urine Sup
CIT_735_V1,357825,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,1,6,9,Urine,Urine Sup
CIT_738_V1,363405,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,37,6,15,Urine,Urine Sup
CIT_739_V1,365478,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,46,6,16,Urine,Urine Sup
CIT_742_V1,370375,1.5 ml urine,0,CITRC 2,CITRC sm urine 3046,11 Johnny KRI#11,1,3,12,52,6,17,Urine,Urine Sup
CIT_751_V1,386132,1.5 ml urine,0,CITRC 2,CITRC sm urine 3047,11 Johnny KRI#11,1,3,13,48,6,28,Urine,Urine Sup
CIT_759_V1,395454,1.5 ml urine,0,CITRC 2,CITRC sm urine 3048,11 Johnny KRI#11,1,3,14,25,6,36,Urine,Urine Sup
CIT_757_V1,395591,1.5 ml urine,0,CITRC 2,CITRC sm urine 3048,11 Johnny KRI#11,1,3,14,31,6,37,Urine,Urine Sup
CIT_762_V1,395874,1.5 ml urine,0,CITRC 2,CITRC sm urine 3048,11 Johnny KRI#11,1,3,14,55,6,41,Urine,Urine Sup
CIT_767_V1,398907,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,1,6,45,Urine,Urine Sup
CIT_771_V1,401730,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,37,6,51,Urine,Urine Sup
CIT_765_V1,401867,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,43,6,52,Urine,Urine Sup
CIT_772_V1,403973,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,61,6,55,Urine,Urine Sup
CIT_773_V1,404272,1.5 ml urine,0,CITRC 2,CITRC sm urine 3049,11 Johnny KRI#11,1,3,15,67,6,56,Urine,Urine Sup
CIT_774_V1,404793,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,7,6,59,Urine,Urine Sup
CIT_777_V1,406229,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,19,6,61,Urine,Urine Sup
CIT_776_V1,406366,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,25,6,62,Urine,Urine Sup
CIT_780_V1,408383,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,37,6,64,Urine,Urine Sup
CIT_779_V1,408520,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,43,6,65,Urine,Urine Sup
CIT_784_V1,414106,1.5 ml urine,0,CITRC 2,CITRC sm urine 3050,11 Johnny KRI#11,1,3,16,73,6,70,Urine,Urine Sup
CIT_783_V1,413969,1.5 ml urine,0,CITRC 2,CITRC sm urine 3051,11 Johnny KRI#11,1,3,17,1,6,71,Urine,Urine Sup
CIT_791_V1,416498,1.5 ml urine,0,CITRC 2,CITRC sm urine 3051,11 Johnny KRI#11,1,3,17,49,6,79,Urine,Urine Sup
CIT_795_V1,417884,1.5 ml urine,0,CITRC 2,CITRC sm urine 3051,11 Johnny KRI#11,1,3,17,73,7,2,Urine,Urine Sup
CIT_796_V1,418069,1.5 ml urine,0,CITRC 2,CITRC sm urine 3052,11 Johnny KRI#11,1,3,18,1,7,3,Urine,Urine Sup
CIT_799_V1,420470,1.5 ml urine,0,CITRC 2,CITRC sm urine 3052,11 Johnny KRI#11,1,3,18,19,7,6,Urine,Urine Sup
CIT_800_V1,423342,1.5 ml urine,0,CITRC 2,CITRC sm urine 3052,11 Johnny KRI#11,1,3,18,43,7,10,Urine,Urine Sup
CIT_804_V1,424441,1.5 ml urine,0,CITRC 2,CITRC sm urine 3052,11 Johnny KRI#11,1,3,18,49,7,11,Urine,Urine Sup
CIT_806_V1,427288,1.5 ml urine,0,CITRC 2,CITRC sm urine 3053,11 Johnny KRI#11,1,3,19,7,7,17,Urine,Urine Sup
CIT_809_V1,428455,1.5 ml urine,0,CITRC 2,CITRC sm urine 3053,11 Johnny KRI#11,1,3,19,25,7,20,Urine,Urine Sup
CIT_811_V1,432146,1.5 ml urine,0,CITRC 2,CITRC sm urine 3053,11 Johnny KRI#11,1,3,19,37,7,22,Urine,Urine Sup
CIT_812_V1,433201,1.5 ml urine,0,CITRC 2,CITRC sm urine 3053,11 Johnny KRI#11,1,3,19,49,7,24,Urine,Urine Sup
CIT_810_V1,437064,1.5 ml urine,0,CITRC 2,CITRC sm urine 3053,11 Johnny KRI#11,1,3,19,61,7,26,Urine,Urine Sup
CIT_815_V1,438632,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,1,7,29,Urine,Urine Sup
CIT_817_V1,441688,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,19,7,32,Urine,Urine Sup
CIT_818_V1,443430,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,30,7,33,Urine,Urine Sup
CIT_821_V1,445352,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,31,7,34,Urine,Urine Sup
CIT_819_V1,445489,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,37,7,35,Urine,Urine Sup
CIT_822_V1,445710,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,43,7,36,Urine,Urine Sup
CIT_824_V1,453509,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,54,7,37,Urine,Urine Sup
CIT_826_V1,456658,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,66,7,39,Urine,Urine Sup
CIT_827_V1,458603,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,67,7,40,Urine,Urine Sup
CIT_829_V1,464836,1.5 ml urine,0,CITRC 2,CITRC sm urine 3054,11 Johnny KRI#11,1,3,20,73,7,41,Urine,Urine Sup
CIT_831_V1,468293,1.5 ml urine,0,CITRC 2,CITRC sm urine 3055,11 Johnny KRI#11,2,5,1,7,7,44,Urine,Urine Sup
CIT_833_V1,476073,1.5 ml urine,0,CITRC 2,CITRC sm urine 3055,11 Johnny KRI#11,2,5,1,31,7,48,Urine,Urine Sup
CIT_834_V1,476854,1.5 ml urine,0,CITRC 2,CITRC sm urine 3055,11 Johnny KRI#11,2,5,1,37,7,49,Urine,Urine Sup
CIT_836_V1,482560,1.5 ml urine,0,CITRC 2,CITRC sm urine 3055,11 Johnny KRI#11,2,5,1,55,7,52,Urine,Urine Sup
CIT_837_V1,484927,1.5 ml urine,0,CITRC 2,CITRC sm urine 3055,11 Johnny KRI#11,2,5,1,67,7,54,Urine,Urine Sup
CIT_838_V1,485068,1.5 ml urine,0,CITRC 2,CITRC sm urine 3055,11 Johnny KRI#11,2,5,1,73,7,55,Urine,Urine Sup
CIT_841_V1,487806,1.5 ml urine,0,CITRC 2,CITRC sm urine 3056,11 Johnny KRI#11,2,5,2,24,7,59,Urine,Urine Sup
CIT_845_V1,493021,1.5 ml urine,0,CITRC 2,CITRC sm urine 3056,11 Johnny KRI#11,2,5,2,39,7,63,Urine,Urine Sup
CIT_844_V1,492880,1.5 ml urine,0,CITRC 2,CITRC sm urine 3056,11 Johnny KRI#11,2,5,2,44,7,64,Urine,Urine Sup
CIT_848_V1,494852,1.5 ml urine,0,CITRC 2,CITRC sm urine 3056,11 Johnny KRI#11,2,5,2,74,7,69,Urine,Urine Sup
CIT_850_V1,499358,1.5 ml urine,0,CITRC 2,CITRC sm urine 3057,11 Johnny KRI#11,2,5,3,25,7,72,Urine,Urine Sup
CIT_854_V1,506855,1.5 ml urine,0,CITRC 2,CITRC sm urine 3057,11 Johnny KRI#11,2,5,3,61,7,75,Urine,Urine Sup
CIT_856_V1,511233,1.5 ml urine,0,CITRC 2,CITRC sm urine 3057,11 Johnny KRI#11,2,5,3,73,7,77,Urine,Urine Sup
CIT_855_V1,511779,1.5 ml urine,0,CITRC 2,CITRC sm urine 3058,11 Johnny KRI#11,2,5,4,1,7,78,Urine,Urine Sup
CIT_857_V1,512944,1.5 ml urine,0,CITRC 2,CITRC sm urine 3058,11 Johnny KRI#11,2,5,4,7,7,79,Urine,Urine Sup
CIT_871_V1,530113,1.5 ml urine,0,CITRC 2,CITRC sm urine 3059,11 Johnny KRI#11,2,5,5,13,8,9,Urine,Urine Sup
CIT_873_V1,533923,1.5 ml urine,0,CITRC 2,CITRC sm urine 3059,11 Johnny KRI#11,2,5,5,31,8,12,Urine,Urine Sup
CIT_875_V1,534116,1.5 ml urine,0,CITRC 2,CITRC sm urine 3059,11 Johnny KRI#11,2,5,5,37,8,13,Urine,Urine Sup
CIT_876_V1,536985,1.5 ml urine,0,CITRC 2,CITRC sm urine 3059,11 Johnny KRI#11,2,5,5,49,8,15,Urine,Urine Sup
CIT_877_V1,537811,1.5 ml urine,0,CITRC 2,CITRC sm urine 3059,11 Johnny KRI#11,2,5,5,55,8,16,Urine,Urine Sup
CIT_881_V1,548025,1.5 ml urine,0,CITRC 2,CITRC sm urine 3060,11 Johnny KRI#11,2,5,6,4,8,21,Urine,Urine Sup
CIT_882_V1,563844,1.5 ml urine,0,CITRC 2,CITRC sm urine 3060,11 Johnny KRI#11,2,5,6,15,8,23,Urine,Urine Sup
CIT_884_V1,574742,1.5 ml urine,0,CITRC 2,CITRC sm urine 3060,11 Johnny KRI#11,2,5,6,27,8,25,Urine,Urine Sup
CIT_886_V1,577406,1.5 ml urine,0,CITRC 2,CITRC sm urine 3060,11 Johnny KRI#11,2,5,6,39,8,27,Urine,Urine Sup
CIT_887_V1,579778,1.5 ml urine,0,CITRC 2,CITRC sm urine 3060,11 Johnny KRI#11,2,5,6,45,8,28,Urine,Urine Sup
CIT_890_V1,583069,1.5 ml urine,0,CITRC 2,CITRC sm urine 3060,11 Johnny KRI#11,2,5,6,75,8,33,Urine,Urine Sup
CIT_891_V1,583210,1.5 ml urine,0,CITRC 2,CITRC sm urine 3061,11 Johnny KRI#11,2,5,7,1,8,34,Urine,Urine Sup
CIT_893_V1,588397,1.5 ml urine,0,CITRC 2,CITRC sm urine 3061,11 Johnny KRI#11,2,5,7,19,8,37,Urine,Urine Sup
CIT_900_V1,601618,1.5 ml urine,0,CITRC 2,CITRC sm urine 3061,11 Johnny KRI#11,2,5,7,79,8,47,Urine,Urine Sup
CIT_901_V1,604465,1.5 ml urine,0,CITRC 2,CITRC sm urine 3062,11 Johnny KRI#11,2,5,8,4,8,48,Urine,Urine Sup
CIT_903_V1,615539,1.5 ml urine,0,CITRC 2,CITRC sm urine 3062,11 Johnny KRI#11,2,5,8,34,8,53,Urine,Urine Sup
CIT_904_V1,615680,1.5 ml urine,0,CITRC 2,CITRC sm urine 3062,11 Johnny KRI#11,2,5,8,46,8,55,Urine,Urine Sup
CIT_905_V1,618127,1.5 ml urine,0,CITRC 2,CITRC sm urine 3062,11 Johnny KRI#11,2,5,8,52,8,56,Urine,Urine Sup
CIT_912_V1,633226,1.5 ml urine,0,CITRC 2,CITRC sm urine 3063,11 Johnny KRI#11,2,5,9,13,8,63,Urine,Urine Sup
CIT_913_V1,634020,1.5 ml urine,0,CITRC 2,CITRC sm urine 3063,11 Johnny KRI#11,2,5,9,19,8,64,Urine,Urine Sup
CIT_917_V1,636816,1.5 ml urine,0,CITRC 2,CITRC sm urine 3063,11 Johnny KRI#11,2,5,9,49,8,69,Urine,Urine Sup
CIT_919_V1,638427,1.5 ml urine,0,CITRC 2,CITRC sm urine 3063,11 Johnny KRI#11,2,5,9,61,8,71,Urine,Urine Sup
CIT_922_V1,642867,1.5 ml urine,0,CITRC 2,CITRC sm urine 3064,11 Johnny KRI#11,2,5,10,4,8,75,Urine,Urine Sup
CIT_928_V1,666468,1.5 ml urine,0,CITRC 2,CITRC sm urine 3064,11 Johnny KRI#11,2,5,10,16,8,77,Urine,Urine Sup
CIT_930_V1,667273,1.5 ml urine,0,CITRC 2,CITRC sm urine 3064,11 Johnny KRI#11,2,5,10,40,8,81,Urine,Urine Sup
CIT_931_V1,667414,1.5 ml urine,0,CITRC 2,CITRC sm urine 3064,11 Johnny KRI#11,2,5,10,46,9,1,Urine,Urine Sup
CIT_932_V1,667585,1.5 ml urine,0,CITRC 2,CITRC sm urine 3064,11 Johnny KRI#11,2,5,10,52,9,2,Urine,Urine Sup
CIT_939_V1,682875,1.5 ml urine,0,CITRC 2,Citrc sm urine 3065,11 Johnny KRI#11,2,5,11,7,9,8,Urine,Urine Sup
CIT_940_V1,683599,1.5 ml urine,0,CITRC 2,Citrc sm urine 3065,11 Johnny KRI#11,2,5,11,13,9,9,Urine,Urine Sup
CIT_944_V1,716459,1.5 ml urine,0,CITRC 2,Citrc sm urine 3065,11 Johnny KRI#11,2,5,11,37,9,13,Urine,Urine Sup
CIT_948_V1,724111,1.5 ml urine,0,CITRC 2,Citrc sm urine 3065,11 Johnny KRI#11,2,5,11,73,9,19,Urine,Urine Sup
CIT_949_V1,725515,1.5 ml urine,0,CITRC 2,CITRC Rack 192Surine,11 Johnny KRI#11,2,5,12,4,9,21,Urine,Urine Sup
CIT_950_V1,725815,1.5 ml urine,0,CITRC 2,CITRC Rack 192Surine,11 Johnny KRI#11,2,5,12,10,9,22,Urine,Urine Sup
